	concept_id	concept_name	pearson_brainmask	pearson_cca	nvoxels_cca	pearson_cca_thresh1	nvoxels_cca_thresh1
37	trm_557b49851e991	proactive control	0.0228779124559	0.0228051756875	28536.0	0.012138768187	1035.0
26	trm_4a3fd79d0a20c	error detection	-0.010473605423	-0.0104914242767	28536.0	0.00984147769759	2637.0
0	trm_4a3fd79d0b13d	social cognition	0.0219528646552	0.0219258314636	28536.0	0.0087534549297	1655.0
7	trm_4a3fd79d0af71	response selection	-0.0651694206448	-0.0652814990087	28536.0	0.00472746141374	1748.0
44	trm_4a3fd79d0a5ed	inference	0.0362636189616	0.0363054565368	28536.0	0.00427044367441	1413.0
31	trm_51a690a7492eb	emotion regulation	-0.00528499638268	-0.00530933292241	28536.0	-0.0085740812392	158.0
45	trm_4a3fd79d0b967	recognition	-0.0328237984278	-0.0328935358582	28536.0	-0.00896857242826	852.0
43	trm_4a3fd79d0af66	response inhibition	-0.045489850011	-0.045516684245	28536.0	-0.0212202286659	1447.0
16	trm_4a3fd79d0b1b2	spatial attention	0.00751640269076	0.00754278311746	28536.0	-0.0263601217952	1581.0
21	trm_557b4a7315f1b	response execution	-0.0457889975224	-0.0457508897204	28536.0	-0.0449951210484	1709.0
48	trm_4a3fd79d0b665	emotion recognition	-0.0524067056606	-0.0524035198668	28536.0	-0.063453494961	1410.0
30	trm_4a3fd79d0ab65	pattern recognition	-0.0412742962988	-0.0412745255126	28536.0	-0.0801609698683	957.0
15	trm_557b4993a0fdd	reinforcement learning	-0.0279165455691	-0.027916778599	28536.0	-0.0816900931492	1333.0
41	trm_4a3fd79d0b89e	sentence processing	0.00166392085824	0.00169839607088	28536.0	-0.0851594523192	1436.0
58	trm_4aae62e4ad209	cognitive control	-0.0271970220078	-0.027214780868	28536.0	-0.0910763078771	1251.0
12	trm_557b4abe521af	spatial selective attention	0.0727162125313	0.0726886372203	28536.0	-0.09235891474	481.0
50	trm_4a3fd79d0aab0	object recognition	-0.0397933621072	-0.0397515994933	28536.0	-0.101322403205	2020.0
38	trm_4a3fd79d0a33b	feedback processing	0.018063500899	0.0180533802364	28536.0	-0.105135567261	1680.0
40	trm_5519b80525e89	stimulus detection	-0.017912494298	-0.0179119984481	28536.0	-0.12131273347	1066.0
8	trm_557b4a81a4a17	reward anticipation	-0.0131348401582	-0.0131389485651	28536.0	-0.131118504071	1054.0
35	trm_4a3fd79d0b4a9	visual object recognition	-0.0572115633551	-0.0571774286845	28536.0	-0.135860287846	1644.0
20	trm_4a3fd79d0a038	decision making	-0.0449672370678	-0.0449512102523	28536.0	-0.154551963977	1387.0
29	trm_4a3fd79d0a30c	face recognition	-0.094108950516	-0.0940732058517	28536.0	-0.173302119456	1045.0
47	trm_5519b7525d7a2	discrimination	-0.0854305576837	-0.0854536641266	28536.0	-0.196082375563	1392.0
33	trm_557b49ad14adf	response conflict	-0.0151854621497	-0.0152223358928	28536.0	-0.196296183627	322.0
4	trm_4a3fd79d0b64e	risk seeking	-0.0127713457388	-0.0127810699939	28536.0	-0.201128207773	479.0
62	trm_4a3fd79d0a908	mental representation	-0.0908068050242	-0.0907715578228	28536.0	-0.207328069178	2884.0
46	trm_4a3fd79d0a613	inhibition	-0.0850535860216	-0.0851219524572	28536.0	-0.250987061117	1163.0
59	trm_557b48aeb7d58	motion detection	-0.0768829214457	-0.0767815100871	28536.0	-0.2514853138	1883.0
57	trm_55c6f58e77fbe	story comprehension	-0.0357588413845	-0.0357577232108	28536.0	-0.272074862289	56.0
49	trm_4a3fd79d0b61f	decision	-0.00876380745025	-0.00876109347993	28536.0	-0.290536789666	69.0
3	trm_5534111a8bc96	punishment processing	-0.0561267557961	-0.0561311569255	28536.0	-0.296641660276	419.0
63	trm_4c3e05903e4bb	updating	-0.13091155088	-0.130797255695	28536.0	-0.302656026677	2857.0
52	trm_4a3fd79d0ba30	maintenance	-0.0676563403859	-0.067636722255	28536.0	-0.327380877546	1084.0
25	trm_4a3fd79d0afcf	risk	0.00935370147411	0.00938373480117	28536.0	-0.438448648062	132.0
24	trm_4a3fd79d0a17f	emotion	-0.00113839167584	-0.00114008761872	28536.0	-0.533808276943	3.0
