	CONCEPT_NAMES	0	1	2	3	4	5	6	7	8	9
trm_4a3fd79d0a398	form perception	visual	occipital	intraparietal	intraparietal sulcus	task	tasks	ips	v1	color	occipito
trm_4a3fd79d0b5a7	working memory	state	resting	resting state	foot	default	default mode	mode	dmn	mode network	network dmn
trm_557b4993a0fdd	reinforcement learning	posterior cingulate	cingulate	acoustic	state	cingulate cortex	listening	midline	anterior	speech	heard
trm_4a3fd79d0b802	language processing	fusiform	objects	fusiform gyrus	occipito temporal	occipito	face	occipitotemporal	object	ffa	fusiform face
trm_4a3fd79d0b1b2	spatial attention	visual	occipital	v1	spatial	intraparietal sulcus	intraparietal	early visual	visual cortex	lingual	color
trm_4a3fd79d0ab7c	perception	state	medial prefrontal	posterior cingulate	resting	states	positive	emotional	resting state	emotion	self
trm_557b4a81a4a17	reward anticipation	auditory	sounds	auditory cortex	listening	acoustic	heschl	heschl gyrus	planum temporale	temporale	planum
trm_557b4b652cbec	visual pattern recognition	pain	secondary somatosensory	insula	somatosensory	secondary	foot	sii	insular	painful	noxious
trm_557b4b47d994a	visual number recognition	visual	occipital	object	objects	intraparietal	intraparietal sulcus	occipito	occipito temporal	lateral occipital	ips
trm_558c736199abd	subjective value judgment	intraparietal	intraparietal sulcus	sulcus	visual	object	motion	observation	action	superior parietal	parietal
trm_557b4b9ccdc4a	visual word recognition	resting	resting state	state functional	occipital	dmn	mode network	precuneus	network dmn	default mode	state
trm_4a3fd79d0a891	memory	faces	fusiform	face	occipital	fusiform gyrus	recognition	ventral visual	face ffa	fusiform face	ffa
trm_555cfb890d721	relational comparison	voxel	matter	negative	depression	morphometry	posterior cingulate	state	positive	voxel morphometry	medial prefrontal
trm_557b48f22ba99	numerical scale judgment	cuneus	precuneus	lingual	resting	resting state	cortex precuneus	posterior cingulate	occipital	navigation	mode network
trm_4c3e04d656f06	interference resolution	structural	matter	white	faces	white matter	fearful	resolution	structure	perception	limited
trm_55b6b910b4b23	right finger response execution	listening	acoustic	sounds	heard	speech	auditory	auditory cortex	heschl	music	heschl gyrus
trm_5519b7525d7a2	discrimination	medial prefrontal	state	posterior cingulate	autobiographical	medial	temporal	default	comprehension	positive	default mode
trm_557b4add1837e	task difficulty	faces	depression	negative	disorder	medial	hippocampus	background	risk	methods	parahippocampal
trm_557b4b3a6a34d	visual form recognition	visual	intraparietal	intraparietal sulcus	occipital	ips	sulcus ips	parietal	object	lateral occipital	occipito
