	0	1	2	3	4	5	6	7	8	9	0.CONCEPT_NAMES
trm_557b4add1837e	somatosensory	motor	premotor	premotor cortex	primary	tactile	supramarginal	supplementary motor	ventral premotor	finger	task difficulty
trm_557b4b3a6a34d	visual	intraparietal	intraparietal sulcus	occipital	ips	sulcus ips	parietal	object	lateral occipital	occipito	visual form recognition
trm_558c7b707f606	fusiform	fusiform gyrus	objects	occipito	occipito temporal	ventral visual	face ffa	occipital	fusiform face	visual	left hand response execution
trm_55b6b9d7c9435	task	acoustic	sounds	listening	working memory	working	auditory cortex	intraparietal	intraparietal sulcus	superior temporal	working memory maintenance
trm_55c298bbe56d5	speech production	production	working memory	working	intraparietal	task	ips	calculation	intraparietal sulcus	parietal cortex	high energy density food recognition
trm_4a3fd79d0aa76	finger	movements	cerebellar	finger movements	premotor cortex	premotor	hand	cerebellum	grasping	motor	object detection
trm_4a3fd79d09849	object	visual	objects	lateral occipital	occipital	occipito temporal	occipito	extrastriate	observation	grasping	anticipation
trm_557b47abe9a34	default mode	default	mode network	dmn	posterior cingulate	mode	network dmn	resting	medial prefrontal	state	decision certainty
trm_557b48a224b95	visual	object	objects	lateral occipital	occipital	listening	occipito temporal	extrastriate	occipito	acoustic	loss anticipation
trm_4a3fd79d0a908	visual	occipital	intraparietal	intraparietal sulcus	object	occipito	color	task	ips	state	mental representation
trm_557b4817db34d	early visual	v1	lingual gyrus	visual cortex	erp	occipital cortex	lingual	occipital lobe	act	just	economic value processing
trm_4a3fd79d0a33b	ventral premotor	v5	premotor cortex	movements	premotor	prefrontal cortex	prefrontal	independent component	static	finger	feedback processing
trm_4a3fd79d0a7bb	v1	visual cortex	visual	occipital	occipital cortex	early visual	primary visual	extrastriate	visual field	occipito	learning
trm_4a3fd79d0b13d	finger	finger movements	finger tapping	precuneus	sequential	tapping	coordination	vision	occipital	motor task	social cognition
trm_557b491318742	auditory cortex	sounds	auditory	listening	superior temporal	acoustic	heschl	heschl gyrus	planum	planum temporale	oddball detection
trm_55b6b9a666604	visual	lateral occipital	occipital	objects	object	extrastriate	occipito temporal	occipito	motion	occipitotemporal	working memory updating
trm_557b493e4203a	language	temporal sulcus	sentences	speech	superior temporal	reading	sentence	temporal	word	comprehension	positive feedback processing
trm_4aae62e4ad209	state	posterior cingulate	resting	resting state	default	mode network	medial prefrontal	default mode	occipito	occipito temporal	cognitive control
trm_4a3fd79d0ba30	dorsolateral	dorsolateral prefrontal	temporal	anterior temporal	control	comprehension	semantic	working memory	error	task	maintenance
trm_557b4b05ae470	auditory	sounds	auditory cortex	listening	speech	acoustic	superior temporal	heschl	heschl gyrus	stg	visual color discrimination
trm_4a3fd79d0a17f	vmpfc	ventromedial prefrontal	ventromedial	cortex vmpfc	medial prefrontal	default	default mode	mode	posterior cingulate	prefrontal cortex	emotion
trm_557b49206928b	fusiform	face	fusiform gyrus	fusiform face	visual	face ffa	ffa	occipito	occipito temporal	extrastriate	pattern maintenance
trm_557b494ca540d	intraparietal	intraparietal sulcus	parietal	parietal cortex	anterior intraparietal	ips	sulcus ips	premotor	superior parietal	posterior parietal	potential monetary loss
trm_557b493133416	visual	lateral occipital	fusiform	occipital	occipito temporal	objects	occipito	occipitotemporal	face	fusiform gyrus	place maintenance
trm_4a3fd79d0a038	supplementary	supplementary motor	sma	motor	motor imagery	motor sma	premotor	movements	foot	movement	decision making
trm_55c6f87595b39	somatosensory	primary	somatosensory cortex	contralateral	somatosensory cortices	ipsilateral	primary motor	motor cortex	stimulation	primary somatosensory	face maintenance
trm_557b4bb7cf05b	intraparietal	task	intraparietal sulcus	visual	working memory	working	tasks	ips	state	sulcus ips	word maintenance
trm_55b6b98b88f45	visual	occipital	task	objects	object	occipito	occipito temporal	intraparietal	intraparietal sulcus	color	tongue response execution
trm_4a3fd79d0b665	occipital	visual	lateral occipital	occipito	object	objects	occipito temporal	occipital cortex	v1	fusiform	emotion recognition
trm_4a3fd79d0b392	finger	finger movements	finger tapping	precuneus	sequential	tapping	coordination	vision	occipital	motor task	theory of mind
trm_55ce70b20186b	visual	intraparietal	intraparietal sulcus	occipital	medial prefrontal	state	extrastriate	object	visual cortex	visually	detection
trm_4a3fd79d0b46f	visual	occipital	v1	spatial	intraparietal sulcus	intraparietal	early visual	visual cortex	lingual	color	visual attention
trm_557b4b27dfd5e	auditory	sounds	auditory cortex	listening	speech	acoustic	superior temporal	heschl	heschl gyrus	stg	visual form discrimination
trm_4a3fd79d0b043	visual	fusiform	occipito	occipito temporal	occipital	objects	occipitotemporal	lateral occipital	fusiform gyrus	ventral visual	selective attention
trm_558c7b337080f	face	fusiform	temporal	fusiform gyrus	temporal cortex	temporal sulcus	faces	ffa	semantic	fusiform face	right hand response execution
trm_557b48d40d3cf	vmpfc	ventromedial prefrontal	ventromedial	cortex vmpfc	medial prefrontal	default	default mode	mode	posterior cingulate	prefrontal cortex	negative emotion
trm_557b4904ee26d	occipital	visual	fusiform	occipito	occipito temporal	lateral occipital	objects	extrastriate	occipital cortex	object	object maintenance
trm_55c6f58e77fbe	cingulate	cingulate cortex	anterior cingulate	medial prefrontal	posterior cingulate	default mode	default	mode	mode network	anterior	story comprehension
trm_557b4aa070c10	fusiform	face	occipital	face ffa	lateral occipital	fusiform face	ffa	fusiform gyrus	inferior occipital	faces	selective control
trm_55ef273a77a86	visual	occipital	occipito temporal	occipito	perceptual	occipital cortex	occipitotemporal	lateral occipital	extrastriate	occipital gyrus	auditory tone perception
trm_4a3fd79d0b61f	finger	index finger	motor cortex	contralateral primary	movement	tapping	sensorimotor cortex	primary motor	m1	contralateral	decision
trm_557b474e2b578	inferior occipital	face	stimuli	fa	anisotropy fa	anisotropy	fractional anisotropy	fractional	matching	tensor	auditory tone detection
trm_4a3fd79d0ab65	occipital	fusiform	visual	lateral occipital	pain	occipito temporal	occipito	objects	face	fusiform gyrus	pattern recognition
trm_4a3fd79d09ab2	premotor	tasks	execution	premotor cortex	task	pre sma	sma	intraparietal	supplementary	intraparietal sulcus	auditory perception
