	TP	TN	FP	FN	image1	image2
3156_3158	2.0	1.0	259.0	2.0	3156.0	3158.0
183_418	17.0	0.0	240.0	7.0	183.0	418.0
143_3162	12.0	0.0	251.0	1.0	143.0	3162.0
147_165	32.0	0.0	227.0	5.0	147.0	165.0
4_187	10.0	0.0	249.0	5.0	4.0	187.0
2718_2723	5.0	0.0	253.0	6.0	2718.0	2723.0
3_138	16.0	0.0	236.0	12.0	3.0	138.0
3164_8625	3.0	0.0	257.0	4.0	3164.0	8625.0
407_3154	17.0	0.0	241.0	6.0	407.0	3154.0
3179_3187	21.0	0.0	237.0	6.0	3179.0	3187.0
143_8718	11.0	0.0	252.0	1.0	143.0	8718.0
2731_3164	5.0	0.0	257.0	2.0	2731.0	3164.0
2863_3154	12.0	2.0	245.0	5.0	2863.0	3154.0
118_2866	11.0	0.0	251.0	2.0	118.0	2866.0
177_3186	12.0	0.0	249.0	3.0	177.0	3186.0
141_186	19.0	0.0	239.0	6.0	141.0	186.0
141_3129	22.0	0.0	238.0	4.0	141.0	3129.0
1584_3180	4.0	0.0	255.0	5.0	1584.0	3180.0
3192_8625	15.0	0.0	243.0	6.0	3192.0	8625.0
3039_10924	4.0	0.0	257.0	3.0	3039.0	10924.0
395_2718	11.0	0.0	250.0	3.0	395.0	2718.0
420_3129	20.0	0.0	239.0	5.0	420.0	3129.0
401_3191	22.0	0.0	237.0	5.0	401.0	3191.0
159_3129	21.0	0.0	240.0	3.0	159.0	3129.0
140_1750	20.0	0.0	238.0	6.0	140.0	1750.0
141_2723	14.0	0.0	249.0	1.0	141.0	2723.0
2729_3185	15.0	0.0	246.0	3.0	2729.0	3185.0
116_3040	3.0	0.0	261.0	0.0	116.0	3040.0
418_3154	15.0	0.0	243.0	6.0	418.0	3154.0
188_2866	7.0	1.0	248.0	8.0	188.0	2866.0
111_3187	12.0	1.0	249.0	2.0	111.0	3187.0
147_186	25.0	0.0	233.0	6.0	147.0	186.0
188_8625	8.0	0.0	248.0	8.0	188.0	8625.0
119_3179	18.0	0.0	239.0	7.0	119.0	3179.0
4_2723	5.0	0.0	257.0	2.0	4.0	2723.0
173_3193	25.0	0.0	234.0	5.0	173.0	3193.0
3131_3194	21.0	0.0	238.0	5.0	3131.0	3194.0
119_8718	8.0	0.0	254.0	2.0	119.0	8718.0
3186_8730	19.0	0.0	237.0	8.0	3186.0	8730.0
2718_2824	15.0	0.0	244.0	5.0	2718.0	2824.0
3_8718	11.0	0.0	247.0	6.0	3.0	8718.0
2863_3158	7.0	1.0	255.0	1.0	2863.0	3158.0
1583_3194	23.0	0.0	233.0	8.0	1583.0	3194.0
187_2723	14.0	0.0	248.0	2.0	187.0	2723.0
3160_8730	10.0	0.0	249.0	5.0	3160.0	8730.0
138_3188	15.0	0.0	239.0	10.0	138.0	3188.0
144_1583	21.0	0.0	236.0	7.0	144.0	1583.0
146_3180	17.0	0.0	241.0	6.0	146.0	3180.0
139_157	23.0	0.0	236.0	5.0	139.0	157.0
135_1750	17.0	0.0	240.0	7.0	135.0	1750.0
157_1584	14.0	0.0	244.0	6.0	157.0	1584.0
143_3186	21.0	0.0	239.0	4.0	143.0	3186.0
420_3040	10.0	0.0	252.0	2.0	420.0	3040.0
3187_3191	23.0	0.0	238.0	3.0	3187.0	3191.0
135_157	21.0	0.0	238.0	5.0	135.0	157.0
2824_3185	22.0	0.0	238.0	4.0	2824.0	3185.0
401_3180	10.0	0.0	248.0	6.0	401.0	3180.0
173_10924	16.0	1.0	242.0	5.0	173.0	10924.0
122_165	19.0	0.0	240.0	5.0	122.0	165.0
1584_8719	5.0	0.0	256.0	3.0	1584.0	8719.0
3186_3192	24.0	0.0	234.0	6.0	3186.0	3192.0
183_3173	21.0	0.0	237.0	6.0	183.0	3173.0
4_2731	7.0	0.0	256.0	1.0	4.0	2731.0
3_3142	15.0	1.0	238.0	10.0	3.0	3142.0
120_8719	11.0	0.0	250.0	3.0	120.0	8719.0
3179_3188	22.0	0.0	235.0	7.0	3179.0	3188.0
118_166	29.0	0.0	231.0	4.0	118.0	166.0
4_1750	9.0	0.0	248.0	7.0	4.0	1750.0
141_173	23.0	0.0	236.0	5.0	141.0	173.0
142_188	25.0	1.0	232.0	6.0	142.0	188.0
3180_8727	3.0	0.0	258.0	3.0	3180.0	8727.0
146_3164	18.0	0.0	243.0	3.0	146.0	3164.0
2866_3041	11.0	0.0	250.0	3.0	2866.0	3041.0
401_3186	20.0	0.0	238.0	6.0	401.0	3186.0
