	TP	TN	FP	FN	image1	image2
2723_3040	6.0	0.0	258.0	0.0	2723.0	3040.0
147_149	31.0	0.0	229.0	4.0	147.0	149.0
418_3160	9.0	0.0	252.0	3.0	418.0	3160.0
395_3188	16.0	0.0	244.0	4.0	395.0	3188.0
140_3194	24.0	0.0	236.0	4.0	140.0	3194.0
116_3158	2.0	0.0	261.0	1.0	116.0	3158.0
142_2883	19.0	0.0	242.0	3.0	142.0	2883.0
3131_8719	13.0	0.0	250.0	1.0	3131.0	8719.0
140_418	19.0	0.0	241.0	4.0	140.0	418.0
146_3194	27.0	0.0	230.0	7.0	146.0	3194.0
3162_8730	11.0	0.0	249.0	4.0	3162.0	8730.0
142_2866	21.0	0.0	240.0	3.0	142.0	2866.0
190_3180	13.0	0.0	247.0	4.0	190.0	3180.0
415_3154	12.0	0.0	248.0	4.0	415.0	3154.0
109_119	14.0	0.0	244.0	6.0	109.0	119.0
2963_3156	3.0	0.0	259.0	2.0	2963.0	3156.0
164_2883	11.0	0.0	250.0	3.0	164.0	2883.0
415_3162	6.0	0.0	257.0	1.0	415.0	3162.0
407_3188	20.0	0.0	239.0	5.0	407.0	3188.0
1584_3175	15.0	0.0	245.0	4.0	1584.0	3175.0
139_3164	14.0	0.0	249.0	1.0	139.0	3164.0
120_412	12.0	0.0	246.0	6.0	120.0	412.0
1583_8820	13.0	0.0	245.0	6.0	1583.0	8820.0
111_173	15.0	1.0	243.0	5.0	111.0	173.0
3041_3186	20.0	0.0	240.0	4.0	3041.0	3186.0
159_419	15.0	0.0	246.0	3.0	159.0	419.0
395_3173	16.0	0.0	244.0	4.0	395.0	3173.0
3142_8730	13.0	0.0	242.0	9.0	3142.0	8730.0
3039_3154	10.0	0.0	250.0	4.0	3039.0	3154.0
146_415	20.0	0.0	240.0	4.0	146.0	415.0
154_188	22.0	1.0	235.0	6.0	154.0	188.0
109_2824	18.0	0.0	240.0	6.0	109.0	2824.0
135_3142	15.0	1.0	243.0	5.0	135.0	3142.0
165_1584	19.0	0.0	239.0	6.0	165.0	1584.0
173_186	22.0	0.0	233.0	9.0	173.0	186.0
154_186	24.0	0.0	233.0	7.0	154.0	186.0
1584_3179	15.0	0.0	243.0	6.0	1584.0	3179.0
109_3129	19.0	0.0	238.0	7.0	109.0	3129.0
119_3175	19.0	0.0	241.0	4.0	119.0	3175.0
3142_3180	8.0	0.0	251.0	5.0	3142.0	3180.0
120_1583	19.0	0.0	237.0	8.0	120.0	1583.0
164_3041	19.0	0.0	242.0	3.0	164.0	3041.0
2714_3185	19.0	0.0	237.0	8.0	2714.0	3185.0
139_188	19.0	1.0	239.0	5.0	139.0	188.0
183_8718	10.0	0.0	249.0	5.0	183.0	8718.0
188_3179	15.0	1.0	236.0	12.0	188.0	3179.0
3160_3194	14.0	0.0	247.0	3.0	3160.0	3194.0
143_8719	13.0	0.0	250.0	1.0	143.0	8719.0
8727_8820	4.0	0.0	259.0	1.0	8727.0	8820.0
166_1583	30.0	0.0	224.0	10.0	166.0	1583.0
172_1585	15.0	0.0	243.0	6.0	172.0	1585.0
4_157	14.0	0.0	246.0	4.0	4.0	157.0
159_177	10.0	0.0	254.0	0.0	159.0	177.0
2729_3164	5.0	0.0	257.0	2.0	2729.0	3164.0
116_135	11.0	0.0	252.0	1.0	116.0	135.0
164_3162	12.0	0.0	250.0	2.0	164.0	3162.0
3_3193	23.0	0.0	235.0	6.0	3.0	3193.0
2714_3158	9.0	0.0	248.0	7.0	2714.0	3158.0
394_3158	10.0	0.0	252.0	2.0	394.0	3158.0
1585_3193	13.0	0.0	248.0	3.0	1585.0	3193.0
136_3162	8.0	0.0	250.0	6.0	136.0	3162.0
394_395	12.0	0.0	247.0	5.0	394.0	395.0
141_3158	12.0	0.0	251.0	1.0	141.0	3158.0
141_1587	11.0	0.0	251.0	2.0	141.0	1587.0
4_419	7.0	0.0	252.0	5.0	4.0	419.0
183_187	20.0	0.0	238.0	6.0	183.0	187.0
8719_8727	5.0	0.0	259.0	0.0	8719.0	8727.0
177_8718	1.0	0.0	262.0	1.0	177.0	8718.0
412_3194	16.0	0.0	242.0	6.0	412.0	3194.0
122_135	13.0	0.0	249.0	2.0	122.0	135.0
2731_3162	4.0	0.0	257.0	3.0	2731.0	3162.0
401_3164	11.0	0.0	250.0	3.0	401.0	3164.0
2963_3187	12.0	0.0	250.0	2.0	2963.0	3187.0
118_10924	10.0	0.0	251.0	3.0	118.0	10924.0
177_2731	5.0	0.0	258.0	1.0	177.0	2731.0
401_1750	16.0	0.0	239.0	9.0	401.0	1750.0
188_412	11.0	1.0	245.0	7.0	188.0	412.0
3_2731	15.0	0.0	243.0	6.0	3.0	2731.0
3179_8718	10.0	0.0	247.0	7.0	3179.0	8718.0
119_420	15.0	0.0	245.0	4.0	119.0	420.0
177_3129	13.0	0.0	248.0	3.0	177.0	3129.0
4_401	10.0	0.0	249.0	5.0	4.0	401.0
2824_3173	23.0	0.0	238.0	3.0	2824.0	3173.0
119_2963	10.0	0.0	252.0	2.0	119.0	2963.0
116_3186	12.0	0.0	249.0	3.0	116.0	3186.0
118_419	16.0	0.0	246.0	2.0	118.0	419.0
177_1750	7.0	0.0	250.0	7.0	177.0	1750.0
116_172	13.0	1.0	244.0	6.0	116.0	172.0
135_8625	11.0	0.0	248.0	5.0	135.0	8625.0
187_188	19.0	1.0	240.0	4.0	187.0	188.0
3154_3193	19.0	0.0	240.0	5.0	3154.0	3193.0
186_3129	22.0	0.0	235.0	7.0	186.0	3129.0
183_3142	17.0	0.0	241.0	6.0	183.0	3142.0
120_186	18.0	0.0	239.0	7.0	120.0	186.0
418_3179	16.0	0.0	238.0	10.0	418.0	3179.0
3156_8625	3.0	0.0	257.0	4.0	3156.0	8625.0
111_3156	2.0	1.0	258.0	3.0	111.0	3156.0
136_141	16.0	0.0	241.0	7.0	136.0	141.0
401_2731	13.0	0.0	247.0	4.0	401.0	2731.0
116_1584	4.0	0.0	258.0	2.0	116.0	1584.0
4_3187	11.0	0.0	250.0	3.0	4.0	3187.0
2723_3194	17.0	0.0	245.0	2.0	2723.0	3194.0
407_1584	12.0	0.0	247.0	5.0	407.0	1584.0
142_3187	28.0	0.0	233.0	3.0	142.0	3187.0
140_3154	20.0	0.0	240.0	4.0	140.0	3154.0
172_188	20.0	1.0	234.0	9.0	172.0	188.0
3192_3194	24.0	0.0	233.0	7.0	3192.0	3194.0
3194_8730	19.0	0.0	236.0	9.0	3194.0	8730.0
1750_2863	11.0	0.0	245.0	8.0	1750.0	2863.0
116_8719	3.0	0.0	260.0	1.0	116.0	8719.0
139_2866	14.0	0.0	247.0	3.0	139.0	2866.0
165_395	21.0	0.0	237.0	6.0	165.0	395.0
2883_3191	14.0	0.0	247.0	3.0	2883.0	3191.0
136_10924	9.0	0.0	248.0	7.0	136.0	10924.0
394_3180	9.0	0.0	250.0	5.0	394.0	3180.0
122_3187	13.0	0.0	249.0	2.0	122.0	3187.0
187_3191	22.0	0.0	237.0	5.0	187.0	3191.0
146_3142	22.0	0.0	236.0	6.0	146.0	3142.0
138_1587	5.0	0.0	250.0	9.0	138.0	1587.0
136_412	10.0	0.0	245.0	9.0	136.0	412.0
142_3164	19.0	0.0	242.0	3.0	142.0	3164.0
3142_8718	7.0	0.0	254.0	3.0	3142.0	8718.0
159_2723	12.0	0.0	251.0	1.0	159.0	2723.0
1586_2731	12.0	0.0	246.0	6.0	1586.0	2731.0
3193_8719	14.0	0.0	248.0	2.0	3193.0	8719.0
164_415	13.0	0.0	247.0	4.0	164.0	415.0
415_3041	12.0	0.0	249.0	3.0	415.0	3041.0
178_3188	13.0	0.0	246.0	5.0	178.0	3188.0
3191_3193	24.0	0.0	236.0	4.0	3191.0	3193.0
144_149	27.0	0.0	234.0	3.0	144.0	149.0
2866_3154	10.0	0.0	249.0	5.0	2866.0	3154.0
412_8718	4.0	0.0	256.0	4.0	412.0	8718.0
141_394	17.0	0.0	243.0	4.0	141.0	394.0
3_3040	14.0	0.0	246.0	4.0	3.0	3040.0
2723_3185	15.0	0.0	247.0	2.0	2723.0	3185.0
2963_3188	13.0	0.0	248.0	3.0	2963.0	3188.0
109_173	21.0	0.0	236.0	7.0	109.0	173.0
183_1750	17.0	0.0	237.0	10.0	183.0	1750.0
401_2824	19.0	0.0	239.0	6.0	401.0	2824.0
178_2883	5.0	0.0	257.0	2.0	178.0	2883.0
166_178	22.0	1.0	234.0	7.0	166.0	178.0
183_8727	9.0	0.0	248.0	7.0	183.0	8727.0
120_122	13.0	0.0	249.0	2.0	120.0	122.0
165_2723	21.0	0.0	240.0	3.0	165.0	2723.0
120_1584	12.0	0.0	248.0	4.0	120.0	1584.0
164_190	20.0	0.0	239.0	5.0	164.0	190.0
420_3160	9.0	0.0	252.0	3.0	420.0	3160.0
139_3179	22.0	0.0	235.0	7.0	139.0	3179.0
187_2863	14.0	0.0	246.0	4.0	187.0	2863.0
420_3041	17.0	0.0	244.0	3.0	420.0	3041.0
3154_3179	20.0	0.0	237.0	7.0	3154.0	3179.0
1583_3039	12.0	0.0	245.0	7.0	1583.0	3039.0
419_2866	10.0	0.0	251.0	3.0	419.0	2866.0
418_3162	9.0	0.0	252.0	3.0	418.0	3162.0
172_3191	27.0	0.0	231.0	6.0	172.0	3191.0
3_3180	14.0	0.0	244.0	6.0	3.0	3180.0
3129_3154	20.0	0.0	238.0	6.0	3129.0	3154.0
149_401	25.0	0.0	234.0	5.0	149.0	401.0
122_2718	7.0	0.0	253.0	4.0	122.0	2718.0
1584_2824	14.0	0.0	246.0	4.0	1584.0	2824.0
143_188	17.0	1.0	241.0	5.0	143.0	188.0
165_3180	18.0	0.0	240.0	6.0	165.0	3180.0
120_3158	11.0	0.0	251.0	2.0	120.0	3158.0
412_2883	5.0	0.0	255.0	4.0	412.0	2883.0
138_2729	8.0	0.0	247.0	9.0	138.0	2729.0
178_186	11.0	0.0	245.0	8.0	178.0	186.0
420_2731	12.0	0.0	249.0	3.0	420.0	2731.0
3_395	18.0	0.0	241.0	5.0	3.0	395.0
172_3164	14.0	0.0	244.0	6.0	172.0	3164.0
3164_3186	13.0	0.0	248.0	3.0	3164.0	3186.0
3175_3179	23.0	0.0	234.0	7.0	3175.0	3179.0
120_166	28.0	0.0	229.0	7.0	120.0	166.0
120_3129	20.0	0.0	238.0	6.0	120.0	3129.0
2718_8730	12.0	0.0	244.0	8.0	2718.0	8730.0
141_144	21.0	0.0	241.0	2.0	141.0	144.0
394_1583	17.0	0.0	238.0	9.0	394.0	1583.0
146_401	25.0	0.0	233.0	6.0	146.0	401.0
4_190	9.0	0.0	248.0	7.0	4.0	190.0
412_3142	10.0	0.0	248.0	6.0	412.0	3142.0
119_3187	17.0	0.0	244.0	3.0	119.0	3187.0
412_2729	8.0	0.0	252.0	4.0	412.0	2729.0
2863_3192	18.0	0.0	242.0	4.0	2863.0	3192.0
173_190	23.0	0.0	234.0	7.0	173.0	190.0
136_3194	19.0	0.0	237.0	8.0	136.0	3194.0
2718_3154	13.0	0.0	246.0	5.0	2718.0	3154.0
154_3187	25.0	0.0	236.0	3.0	154.0	3187.0
3040_3192	16.0	0.0	246.0	2.0	3040.0	3192.0
141_143	20.0	0.0	242.0	2.0	141.0	143.0
3142_8719	7.0	0.0	252.0	5.0	3142.0	8719.0
149_157	28.0	0.0	231.0	5.0	149.0	157.0
165_8727	17.0	0.0	242.0	5.0	165.0	8727.0
146_154	30.0	0.0	228.0	6.0	146.0	154.0
119_1587	8.0	0.0	253.0	3.0	119.0	1587.0
142_1584	21.0	0.0	239.0	4.0	142.0	1584.0
1583_2718	12.0	0.0	241.0	11.0	1583.0	2718.0
116_149	17.0	0.0	245.0	2.0	116.0	149.0
188_415	11.0	1.0	247.0	5.0	188.0	415.0
1585_2824	13.0	0.0	248.0	3.0	1585.0	2824.0
140_2723	16.0	0.0	247.0	1.0	140.0	2723.0
418_2723	10.0	0.0	250.0	4.0	418.0	2723.0
3162_3191	15.0	0.0	247.0	2.0	3162.0	3191.0
2729_3180	4.0	0.0	255.0	5.0	2729.0	3180.0
142_154	32.0	0.0	227.0	5.0	142.0	154.0
111_2729	4.0	1.0	255.0	4.0	111.0	2729.0
1587_8820	4.0	0.0	259.0	1.0	1587.0	8820.0
187_3040	11.0	0.0	250.0	3.0	187.0	3040.0
186_3131	20.0	1.0	238.0	5.0	186.0	3131.0
172_8625	14.0	0.0	241.0	9.0	172.0	8625.0
3129_8820	14.0	0.0	246.0	4.0	3129.0	8820.0
188_3041	16.0	1.0	242.0	5.0	188.0	3041.0
3162_3186	13.0	0.0	248.0	3.0	3162.0	3186.0
2824_3180	13.0	0.0	247.0	4.0	2824.0	3180.0
159_190	20.0	0.0	242.0	2.0	159.0	190.0
2826_3194	23.0	0.0	234.0	7.0	2826.0	3194.0
2963_3154	10.0	0.0	250.0	4.0	2963.0	3154.0
146_186	25.0	0.0	231.0	8.0	146.0	186.0
140_3039	14.0	0.0	248.0	2.0	140.0	3039.0
136_172	19.0	0.0	234.0	11.0	136.0	172.0
165_3041	26.0	0.0	234.0	4.0	165.0	3041.0
116_2826	13.0	0.0	248.0	3.0	116.0	2826.0
3158_3192	15.0	0.0	246.0	3.0	3158.0	3192.0
172_8727	14.0	0.0	244.0	6.0	172.0	8727.0
3193_8730	19.0	0.0	238.0	7.0	3193.0	8730.0
147_3164	17.0	0.0	245.0	2.0	147.0	3164.0
186_3187	19.0	0.0	239.0	6.0	186.0	3187.0
2723_2824	15.0	0.0	247.0	2.0	2723.0	2824.0
146_188	23.0	1.0	233.0	7.0	146.0	188.0
143_2963	12.0	0.0	250.0	2.0	143.0	2963.0
2731_3185	15.0	0.0	246.0	3.0	2731.0	3185.0
165_1585	19.0	0.0	241.0	4.0	165.0	1585.0
144_419	17.0	0.0	243.0	4.0	144.0	419.0
138_1584	7.0	0.0	247.0	10.0	138.0	1584.0
154_412	19.0	0.0	240.0	5.0	154.0	412.0
135_147	25.0	0.0	236.0	3.0	135.0	147.0
187_420	18.0	0.0	242.0	4.0	187.0	420.0
118_3180	11.0	0.0	251.0	2.0	118.0	3180.0
2729_2863	8.0	0.0	253.0	3.0	2729.0	2863.0
177_419	7.0	0.0	254.0	3.0	177.0	419.0
143_3041	19.0	0.0	243.0	2.0	143.0	3041.0
141_2826	21.0	0.0	238.0	5.0	141.0	2826.0
1750_8820	10.0	0.0	248.0	6.0	1750.0	8820.0
144_2826	22.0	0.0	237.0	5.0	144.0	2826.0
119_1750	15.0	0.0	242.0	7.0	119.0	1750.0
420_3156	9.0	0.0	252.0	3.0	420.0	3156.0
120_3191	21.0	0.0	238.0	5.0	120.0	3191.0
1583_3179	20.0	0.0	232.0	12.0	1583.0	3179.0
420_2824	19.0	0.0	241.0	4.0	420.0	2824.0
166_2723	23.0	0.0	236.0	5.0	166.0	2723.0
3041_3131	19.0	0.0	243.0	2.0	3041.0	3131.0
1586_8727	8.0	0.0	249.0	7.0	1586.0	8727.0
144_395	17.0	0.0	245.0	2.0	144.0	395.0
2866_3039	5.0	0.0	257.0	2.0	2866.0	3039.0
139_142	30.0	0.0	231.0	3.0	139.0	142.0
419_8730	14.0	0.0	242.0	8.0	419.0	8730.0
190_418	14.0	0.0	241.0	9.0	190.0	418.0
3185_8730	19.0	0.0	238.0	7.0	3185.0	8730.0
394_412	12.0	0.0	247.0	5.0	394.0	412.0
3154_3162	10.0	0.0	251.0	3.0	3154.0	3162.0
111_2826	14.0	1.0	245.0	4.0	111.0	2826.0
120_2729	10.0	0.0	248.0	6.0	120.0	2729.0
120_142	27.0	0.0	233.0	4.0	120.0	142.0
166_3156	22.0	0.0	238.0	4.0	166.0	3156.0
178_8719	4.0	0.0	256.0	4.0	178.0	8719.0
3156_3191	14.0	0.0	247.0	3.0	3156.0	3191.0
412_1584	8.0	0.0	252.0	4.0	412.0	1584.0
119_140	19.0	0.0	242.0	3.0	119.0	140.0
111_1584	4.0	1.0	255.0	4.0	111.0	1584.0
3040_3158	4.0	0.0	260.0	0.0	3040.0	3158.0
164_2723	14.0	0.0	248.0	2.0	164.0	2723.0
2826_3041	20.0	0.0	239.0	5.0	2826.0	3041.0
3_3186	23.0	0.0	234.0	7.0	3.0	3186.0
173_1583	23.0	0.0	231.0	10.0	173.0	1583.0
1585_3142	7.0	0.0	252.0	5.0	1585.0	3142.0
138_173	17.0	0.0	235.0	12.0	138.0	173.0
109_2731	12.0	0.0	248.0	4.0	109.0	2731.0
3039_3164	3.0	0.0	259.0	2.0	3039.0	3164.0
186_420	17.0	0.0	240.0	7.0	186.0	420.0
2723_8820	6.0	0.0	257.0	1.0	2723.0	8820.0
395_3192	19.0	0.0	241.0	4.0	395.0	3192.0
2963_3158	4.0	0.0	259.0	1.0	2963.0	3158.0
159_188	16.0	1.0	243.0	4.0	159.0	188.0
109_3158	8.0	0.0	251.0	5.0	109.0	3158.0
415_2824	14.0	0.0	246.0	4.0	415.0	2824.0
2723_3160	5.0	0.0	258.0	1.0	2723.0	3160.0
143_1587	11.0	0.0	251.0	2.0	143.0	1587.0
395_2731	10.0	0.0	252.0	2.0	395.0	2731.0
3158_3160	3.0	0.0	260.0	1.0	3158.0	3160.0
154_415	19.0	0.0	242.0	3.0	154.0	415.0
3154_3192	22.0	0.0	237.0	5.0	3154.0	3192.0
109_8718	8.0	0.0	252.0	4.0	109.0	8718.0
395_2863	9.0	0.0	251.0	4.0	395.0	2863.0
2729_8719	4.0	0.0	256.0	4.0	2729.0	8719.0
3142_3173	16.0	0.0	242.0	6.0	3142.0	3173.0
407_1750	17.0	0.0	239.0	8.0	407.0	1750.0
2863_3162	6.0	0.0	256.0	2.0	2863.0	3162.0
146_2723	20.0	0.0	241.0	3.0	146.0	2723.0
118_3185	20.0	0.0	242.0	2.0	118.0	3185.0
186_2718	14.0	0.0	243.0	7.0	186.0	2718.0
118_3192	23.0	0.0	239.0	2.0	118.0	3192.0
172_3162	15.0	0.0	244.0	5.0	172.0	3162.0
188_2883	8.0	1.0	250.0	5.0	188.0	2883.0
142_3162	20.0	0.0	242.0	2.0	142.0	3162.0
415_3040	6.0	0.0	257.0	1.0	415.0	3040.0
419_8727	6.0	0.0	253.0	5.0	419.0	8727.0
401_3192	23.0	0.0	236.0	5.0	401.0	3192.0
149_177	17.0	0.0	245.0	2.0	149.0	177.0
2826_3154	20.0	0.0	238.0	6.0	2826.0	3154.0
118_8718	9.0	0.0	254.0	1.0	118.0	8718.0
3041_3192	22.0	0.0	238.0	4.0	3041.0	3192.0
190_2863	14.0	0.0	245.0	5.0	190.0	2863.0
140_3129	24.0	0.0	236.0	4.0	140.0	3129.0
159_3142	15.0	0.0	246.0	3.0	159.0	3142.0
1584_3185	14.0	0.0	246.0	4.0	1584.0	3185.0
2723_2863	9.0	0.0	254.0	1.0	2723.0	2863.0
135_141	20.0	0.0	242.0	2.0	135.0	141.0
1586_8625	9.0	0.0	246.0	9.0	1586.0	8625.0
3173_8625	12.0	0.0	246.0	6.0	3173.0	8625.0
3040_3162	4.0	0.0	260.0	0.0	3040.0	3162.0
3187_8625	11.0	0.0	248.0	5.0	3187.0	8625.0
146_3191	29.0	0.0	230.0	5.0	146.0	3191.0
166_3186	31.0	0.0	226.0	7.0	166.0	3186.0
147_3039	17.0	0.0	244.0	3.0	147.0	3039.0
120_165	24.0	0.0	233.0	7.0	120.0	165.0
139_3173	23.0	0.0	238.0	3.0	139.0	3173.0
166_1587	21.0	0.0	238.0	5.0	166.0	1587.0
159_1750	16.0	0.0	242.0	6.0	159.0	1750.0
4_1584	4.0	0.0	256.0	4.0	4.0	1584.0
119_166	28.0	0.0	231.0	5.0	119.0	166.0
3194_8625	14.0	0.0	244.0	6.0	3194.0	8625.0
186_3154	17.0	0.0	239.0	8.0	186.0	3154.0
122_2723	7.0	0.0	256.0	1.0	122.0	2723.0
138_3164	6.0	0.0	250.0	8.0	138.0	3164.0
420_3194	20.0	0.0	239.0	5.0	420.0	3194.0
420_1584	11.0	0.0	249.0	4.0	420.0	1584.0
159_3131	19.0	0.0	244.0	1.0	159.0	3131.0
4_165	18.0	0.0	241.0	5.0	4.0	165.0
2731_8820	6.0	0.0	256.0	2.0	2731.0	8820.0
157_2883	13.0	0.0	247.0	4.0	157.0	2883.0
138_415	7.0	0.0	247.0	10.0	138.0	415.0
144_8719	14.0	0.0	249.0	1.0	144.0	8719.0
109_146	24.0	0.0	234.0	6.0	109.0	146.0
2826_3142	18.0	0.0	240.0	6.0	2826.0	3142.0
2866_3186	11.0	0.0	246.0	7.0	2866.0	3186.0
111_415	4.0	1.0	255.0	4.0	111.0	415.0
394_3185	18.0	0.0	241.0	5.0	394.0	3185.0
3129_3187	22.0	0.0	238.0	4.0	3129.0	3187.0
3164_3180	3.0	0.0	258.0	3.0	3164.0	3180.0
135_2883	11.0	0.0	251.0	2.0	135.0	2883.0
122_3131	13.0	0.0	249.0	2.0	122.0	3131.0
419_3156	8.0	0.0	253.0	3.0	419.0	3156.0
2731_3180	6.0	0.0	255.0	3.0	2731.0	3180.0
3142_3175	18.0	0.0	241.0	5.0	3142.0	3175.0
1583_8718	10.0	0.0	247.0	7.0	1583.0	8718.0
166_407	29.0	0.0	228.0	7.0	166.0	407.0
147_3173	26.0	0.0	234.0	4.0	147.0	3173.0
154_2883	16.0	0.0	245.0	3.0	154.0	2883.0
142_186	27.0	0.0	230.0	7.0	142.0	186.0
401_3142	15.0	0.0	243.0	6.0	401.0	3142.0
144_178	13.0	0.0	247.0	4.0	144.0	178.0
166_2729	23.0	0.0	235.0	6.0	166.0	2729.0
173_8718	14.0	0.0	246.0	4.0	173.0	8718.0
119_2883	8.0	0.0	253.0	3.0	119.0	2883.0
412_2863	9.0	0.0	251.0	4.0	412.0	2863.0
190_3164	13.0	0.0	249.0	2.0	190.0	3164.0
412_420	11.0	0.0	247.0	6.0	412.0	420.0
172_3142	19.0	0.0	237.0	8.0	172.0	3142.0
2714_3188	19.0	0.0	237.0	8.0	2714.0	3188.0
4_2863	6.0	0.0	255.0	3.0	4.0	2863.0
172_173	26.0	0.0	229.0	9.0	172.0	173.0
164_3156	11.0	0.0	250.0	3.0	164.0	3156.0
2824_8625	11.0	0.0	246.0	7.0	2824.0	8625.0
143_154	25.0	0.0	236.0	3.0	143.0	154.0
139_147	27.0	0.0	234.0	3.0	139.0	147.0
8625_8727	1.0	0.0	257.0	6.0	8625.0	8727.0
154_3194	27.0	0.0	232.0	5.0	154.0	3194.0
401_3185	20.0	0.0	239.0	5.0	401.0	3185.0
178_2863	5.0	0.0	253.0	6.0	178.0	2863.0
4_3039	3.0	0.0	258.0	3.0	4.0	3039.0
1586_2866	10.0	0.0	247.0	7.0	1586.0	2866.0
395_3158	6.0	0.0	255.0	3.0	395.0	3158.0
3191_8625	14.0	0.0	244.0	6.0	3191.0	8625.0
4_394	9.0	0.0	251.0	4.0	4.0	394.0
3179_8719	10.0	0.0	245.0	9.0	3179.0	8719.0
111_3188	12.0	1.0	247.0	4.0	111.0	3188.0
419_3154	14.0	0.0	244.0	6.0	419.0	3154.0
141_1583	20.0	0.0	237.0	7.0	141.0	1583.0
2866_3162	3.0	0.0	258.0	3.0	2866.0	3162.0
142_177	19.0	0.0	243.0	2.0	142.0	177.0
419_3188	17.0	0.0	242.0	5.0	419.0	3188.0
394_2718	11.0	0.0	247.0	6.0	394.0	2718.0
164_8625	10.0	0.0	247.0	7.0	164.0	8625.0
2824_2863	15.0	0.0	245.0	4.0	2824.0	2863.0
177_3188	12.0	0.0	250.0	2.0	177.0	3188.0
2963_3040	3.0	0.0	259.0	2.0	2963.0	3040.0
140_412	16.0	0.0	244.0	4.0	140.0	412.0
119_136	12.0	0.0	243.0	9.0	119.0	136.0
135_3039	12.0	0.0	250.0	2.0	135.0	3039.0
2883_3129	13.0	0.0	247.0	4.0	2883.0	3129.0
177_395	6.0	0.0	256.0	2.0	177.0	395.0
419_8718	7.0	0.0	254.0	3.0	419.0	8718.0
1584_3188	14.0	0.0	246.0	4.0	1584.0	3188.0
178_3164	3.0	0.0	257.0	4.0	178.0	3164.0
1585_3160	4.0	0.0	259.0	1.0	1585.0	3160.0
401_3162	11.0	0.0	250.0	3.0	401.0	3162.0
418_3131	16.0	0.0	243.0	5.0	418.0	3131.0
143_3129	22.0	0.0	238.0	4.0	143.0	3129.0
172_3173	24.0	0.0	233.0	7.0	172.0	3173.0
3039_8719	3.0	0.0	258.0	3.0	3039.0	8719.0
140_142	30.0	0.0	231.0	3.0	140.0	142.0
3040_10924	5.0	0.0	258.0	1.0	3040.0	10924.0
3142_3188	17.0	0.0	242.0	5.0	3142.0	3188.0
1585_3187	12.0	0.0	250.0	2.0	1585.0	3187.0
395_420	13.0	0.0	247.0	4.0	395.0	420.0
109_8820	10.0	0.0	250.0	4.0	109.0	8820.0
2866_3193	13.0	0.0	247.0	4.0	2866.0	3193.0
120_418	14.0	0.0	243.0	7.0	120.0	418.0
186_2729	12.0	0.0	245.0	7.0	186.0	2729.0
3156_3160	3.0	0.0	260.0	1.0	3156.0	3160.0
142_165	34.0	0.0	224.0	6.0	142.0	165.0
3040_3186	13.0	0.0	248.0	3.0	3040.0	3186.0
177_401	10.0	0.0	251.0	3.0	177.0	401.0
3131_3175	21.0	0.0	239.0	4.0	3131.0	3175.0
190_415	15.0	0.0	246.0	3.0	190.0	415.0
147_8625	16.0	0.0	242.0	6.0	147.0	8625.0
183_2718	14.0	0.0	243.0	7.0	183.0	2718.0
140_2731	16.0	0.0	246.0	2.0	140.0	2731.0
4_1586	10.0	0.0	248.0	6.0	4.0	1586.0
172_420	21.0	0.0	236.0	7.0	172.0	420.0
118_8820	11.0	0.0	252.0	1.0	118.0	8820.0
141_183	21.0	0.0	239.0	4.0	141.0	183.0
118_1586	18.0	0.0	242.0	4.0	118.0	1586.0
394_3191	21.0	0.0	239.0	4.0	394.0	3191.0
140_2863	17.0	0.0	245.0	2.0	140.0	2863.0
2729_2883	5.0	0.0	257.0	2.0	2729.0	2883.0
138_420	12.0	0.0	242.0	10.0	138.0	420.0
122_154	18.0	0.0	243.0	3.0	122.0	154.0
173_1586	21.0	0.0	234.0	9.0	173.0	1586.0
1750_3173	19.0	0.0	238.0	7.0	1750.0	3173.0
172_3041	22.0	0.0	236.0	6.0	172.0	3041.0
157_172	24.0	0.0	231.0	9.0	157.0	172.0
141_2824	21.0	0.0	240.0	3.0	141.0	2824.0
146_178	17.0	2.0	238.0	7.0	146.0	178.0
3_147	27.0	0.0	231.0	6.0	3.0	147.0
188_2863	11.0	1.0	246.0	6.0	188.0	2863.0
2824_3162	13.0	0.0	249.0	2.0	2824.0	3162.0
120_8820	10.0	0.0	250.0	4.0	120.0	8820.0
401_1584	12.0	0.0	247.0	5.0	401.0	1584.0
120_172	22.0	0.0	235.0	7.0	120.0	172.0
165_394	23.0	0.0	234.0	7.0	165.0	394.0
2863_3175	16.0	0.0	244.0	4.0	2863.0	3175.0
2731_8730	13.0	0.0	246.0	5.0	2731.0	8730.0
3_186	26.0	0.0	234.0	4.0	3.0	186.0
159_8727	10.0	0.0	253.0	1.0	159.0	8727.0
418_419	12.0	0.0	245.0	7.0	418.0	419.0
1586_3175	20.0	0.0	237.0	7.0	1586.0	3175.0
111_394	8.0	1.0	250.0	5.0	111.0	394.0
149_1584	19.0	0.0	241.0	4.0	149.0	1584.0
122_8730	11.0	0.0	247.0	6.0	122.0	8730.0
190_1750	20.0	0.0	238.0	6.0	190.0	1750.0
140_2824	23.0	0.0	238.0	3.0	140.0	2824.0
164_2826	22.0	0.0	237.0	5.0	164.0	2826.0
188_3039	10.0	1.0	249.0	4.0	188.0	3039.0
116_3142	6.0	0.0	254.0	4.0	116.0	3142.0
142_395	23.0	0.0	237.0	4.0	142.0	395.0
