,nid,TP,FP,TN,FN,sensitivity,specificity,accuracy,in_count,out_count,threshold
13163,trm_557b4817db34d,1,0,91,0,1,1,1,1,91,0.99
13164,trm_567982752ff4a,1,0,91,0,1,1,1,1,91,0.99
13169,trm_557b48d40d3cf,1,0,91,0,1,1,1,1,91,0.99
13170,trm_557b495cdde57,1,0,91,0,1,1,1,1,91,0.99
13172,trm_4a3fd79d0b64e,1,0,91,0,1,1,1,1,91,0.99
13175,trm_5678a999f1c19,1,0,91,0,1,1,1,1,91,0.99
13189,trm_4c3e04d656f06,1,0,91,0,1,1,1,1,91,0.99
13190,trm_557b47abe9a34,1,0,91,0,1,1,1,1,91,0.99
13191,trm_557b471bc6cd8,1,0,91,0,1,1,1,1,91,0.99
13192,trm_4a3fd79d0a775,1,0,91,0,1,1,1,1,91,0.99
13195,trm_4a3fd79d0a17f,1,0,91,0,1,1,1,1,91,0.99
13200,trm_557b4b05ae470,1,0,91,0,1,1,1,1,91,0.99
13203,trm_557b494ca540d,1,0,91,0,1,1,1,1,91,1
13208,trm_55c298bbe56d5,1,0,91,0,1,1,1,1,91,1
13214,trm_4a3fd79d0a1d1,1,0,91,0,1,1,1,1,91,1
13216,trm_558c7439832d9,1,0,91,0,1,1,1,1,91,1
13217,trm_559f0a5b4cd36,1,0,91,0,1,1,1,1,91,1
13219,trm_5159beaf80413,1,0,91,0,1,1,1,1,91,1
13225,trm_55b6b952c1b4c,1,0,91,0,1,1,1,1,91,1
13229,trm_55c6f58e77fbe,1,0,91,0,1,1,1,1,91,1
13231,trm_56798c5f25b0c,1,0,91,0,1,1,1,1,91,1
13233,trm_4a3fd79d0afcf,1,0,91,0,1,1,1,1,91,1
13234,trm_557b4a913f8cc,1,0,91,0,1,1,1,1,91,1
13235,trm_557b49ad14adf,1,0,91,0,1,1,1,1,91,1
13239,trm_4ee8facd77dfc,1,0,91,0,1,1,1,1,91,1
13240,trm_4a3fd79d0a908,1,0,91,0,1,1,1,1,91,1
13241,trm_55b6b96e77df6,1,0,91,0,1,1,1,1,91,1
13244,trm_557b4acdee820,1,0,91,0,1,1,1,1,91,1
13246,trm_4a3fd79d0b043,1,0,91,0,1,1,1,1,91,1
13249,trm_557b4b27dfd5e,1,0,91,0,1,1,1,1,91,1
13253,trm_51a690a7492eb,1,0,91,0,1,1,1,1,91,1
13255,trm_55ef1fd2bc418,1,0,91,0,1,1,1,1,91,1
13256,trm_55ef273a77a86,1,0,91,0,1,1,1,1,91,1
13257,trm_559f09a5cdca9,1,0,91,0,1,1,1,1,91,1
13262,trm_557b4abe521af,1,0,91,0,1,1,1,1,91,1
13264,trm_5534111a8bc96,1,0,91,0,1,1,1,1,91,1
13265,trm_55b6b92c1fd76,1,0,91,0,1,1,1,1,91,1
13266,trm_55ef153d47bc0,1,0,91,0,1,1,1,1,91,1
13268,trm_557b499fac085,1,0,91,0,1,1,1,1,91,1
13273,trm_557b4bb7cf05b,1,0,91,0,1,1,1,1,91,1
13274,trm_557b49206928b,1,0,91,0,1,1,1,1,91,1
