	image_id	node	ri_score	bayes_factor	in_count	out_count
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_14_000178	000178	trm_4a3fd79d0a398	0.614590756582	1.22918151316	14.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_15_000165	000165	trm_4a3fd79d0a398	0.572480593378	1.14496118676	15.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_3_000165	000165	trm_4a3fd79d0a398	0.53324665545	1.0664933109	3.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_32_008719	008719	trm_4a3fd79d0a398	0.549883060593	1.09976612119	32.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_15_003131	003131	trm_4a3fd79d0a398	0.466745942598	0.933491885196	15.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_8_002718	002718	trm_4a3fd79d0a398	0.945259471712	1.89051894342	8.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_20_000142	000142	trm_4a3fd79d0a398	0.59763899397	1.19527798794	20.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_5_000395	000395	trm_4a3fd79d0a398	0.591435447224	1.18287089445	5.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_31_000003	000003	trm_4a3fd79d0a398	0.578561247568	1.15712249514	31.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_18_000143	000143	trm_4a3fd79d0a398	0.481123728753	0.962247457505	18.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_8_000003	000003	trm_4a3fd79d0a398	0.495893353527	0.991786707054	8.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_24_000135	000135	trm_4a3fd79d0a398	0.5697840868	1.1395681736	24.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_29_003039	003039	trm_4a3fd79d0a398	0.554377718353	1.10875543671	29.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_16_000188	000188	trm_4a3fd79d0a398	0.419846482464	0.839692964929	16.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_13_000138	000138	trm_4a3fd79d0a398	0.499905808251	0.999811616502	13.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_15_000154	000154	trm_4a3fd79d0a398	0.556437310497	1.11287462099	15.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_6_000419	000419	trm_4a3fd79d0a398	0.453032384232	0.906064768465	6.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_30_001583	001583	trm_4a3fd79d0a398	0.962185242032	1.92437048406	30.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_23_008820	008820	trm_4a3fd79d0a398	0.452882265722	0.905764531445	23.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_20_002863	002863	trm_4a3fd79d0a398	0.441204050823	0.882408101646	20.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_24_003131	003131	trm_4a3fd79d0a398	0.496544351979	0.993088703958	24.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_8_000394	000394	trm_4a3fd79d0a398	0.484543789777	0.969087579553	8.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_10_003180	003180	trm_4a3fd79d0a398	0.173543589044	0.347087178088	10.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_7_000164	000164	trm_4a3fd79d0a398	0.543126609852	1.0862532197	7.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_25_003188	003188	trm_4a3fd79d0a398	0.454941819092	0.909883638183	25.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_6_002883	002883	trm_4a3fd79d0a398	0.0443467694252	0.0886935388504	6.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_23_001587	001587	trm_4a3fd79d0a398	0.757227181483	1.51445436297	23.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_28_003040	003040	trm_4a3fd79d0a398	0.534922426391	1.06984485278	28.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_30_000138	000138	trm_4a3fd79d0a398	0.482533199991	0.965066399981	30.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_23_000135	000135	trm_4a3fd79d0a398	0.549274304393	1.09854860879	23.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_8_000159	000159	trm_4a3fd79d0a398	0.393861978398	0.787723956795	8.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_13_000188	000188	trm_4a3fd79d0a398	0.493224261724	0.986448523448	13.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_17_000394	000394	trm_4a3fd79d0a398	0.754151119452	1.5083022389	17.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_24_000407	000407	trm_4a3fd79d0a398	0.539134026259	1.07826805252	24.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_26_002863	002863	trm_4a3fd79d0a398	0.47285272916	0.94570545832	26.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_28_003164	003164	trm_4a3fd79d0a398	0.529346630973	1.05869326195	28.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_6_000120	000120	trm_4a3fd79d0a398	0.418938007811	0.837876015622	6.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_4_000142	000142	trm_4a3fd79d0a398	0.528202674148	1.0564053483	4.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_21_000157	000157	trm_4a3fd79d0a398	0.607683983924	1.21536796785	21.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_32_001587	001587	trm_4a3fd79d0a398	0.741491152503	1.48298230501	32.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_4_000139	000139	trm_4a3fd79d0a398	0.447730019628	0.895460039255	4.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_6_000177	000177	trm_4a3fd79d0a398	0.550511409742	1.10102281948	6.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_30_002963	002963	trm_4a3fd79d0a398	0.261276958762	0.522553917523	30.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_23_000412	000412	trm_4a3fd79d0a398	0.0210073389688	0.0420146779377	23.0	58.0
/scratch/users/vsochat/DATA/BRAINMETA/ontological_comparison//data/group_size_vary_scores/trm_4a3fd79d0a398_size_11_000186	000186	trm_4a3fd79d0a398	0.51508728028	1.03017456056	11.0	58.0
